Unnamed: 0,neighbourhood_group_cleansed,property_type,room_type,bedrooms,price,minimum_nights_avg_ntm,instant_bookable,property_type_group,review_score,review_score_porcent,occupancy_rate,bedroom_occupancy_percent,min_nights_percent_year
1738,Arganzuela,Entire rental unit,Entire home/apt,3.0,216.0,2.0,True,Floor,4,0.67,0.62,0.86,0.01
1739,Centro,Entire rental unit,Entire home/apt,1.0,161.0,2.0,False,House,5,0.89,0.47,0.69,0.01
1740,Puente de Vallecas,Entire rental unit,Entire home/apt,1.0,86.0,2.0,False,Floor,4,0.67,0.89,0.43,0.01
1741,Centro,Entire rental unit,Entire home/apt,0.0,78.0,29.9,False,House,3,0.54,0.92,0.91,0.08
1742,Ciudad Lineal,Entire rental unit,Entire home/apt,2.0,69.0,3.5,False,House,1,0.04,0.78,0.54,0.01
1743,TetuÃ¡n,Private room in rental unit,Private room,1.0,42.0,2.0,False,Room,5,0.9,0.82,0.35,0.01
1744,Salamanca,Entire rental unit,Entire home/apt,3.0,238.0,12.9,False,Floor,5,0.81,0.56,0.35,0.04
1745,Centro,Entire rental unit,Entire home/apt,2.0,204.0,27.9,False,Floor,5,0.87,0.54,0.84,0.08
1746,Centro,Entire rental unit,Entire home/apt,1.0,76.0,3.0,True,House,5,0.99,0.51,0.85,0.01
1747,Fuencarral - El Pardo,Entire rental unit,Entire home/apt,2.0,130.0,4.0,True,House,4,0.63,0.83,0.56,0.01
1748,Centro,Entire rental unit,Entire home/apt,2.0,342.0,4.7,False,House,4,0.76,0.35,0.95,0.01
1749,Centro,Entire rental unit,Entire home/apt,1.0,100.0,2.0,True,House,4,0.7,0.4,0.82,0.01
1750,Centro,Private room in rental unit,Private room,1.0,61.0,2.0,False,Room,4,0.66,0.54,0.7,0.01
1751,Centro,Entire rental unit,Entire home/apt,1.0,181.0,5.0,False,House,3,0.53,0.43,0.77,0.01
1752,ChamberÃ­,Entire loft,Entire home/apt,1.0,78.0,26.4,False,Floor,5,0.96,0.33,0.93,0.07
1753,Centro,Entire rental unit,Entire home/apt,1.0,110.0,4.0,False,House,5,0.84,0.95,0.35,0.01
1754,Centro,Entire rental unit,Entire home/apt,1.0,115.0,28.0,False,House,3,0.57,0.76,0.86,0.08
1755,Moncloa - Aravaca,Private room in rental unit,Private room,1.0,37.0,3.5,False,Room,3,0.46,0.31,0.99,0.01
1756,Centro,Entire rental unit,Entire home/apt,3.0,144.0,3.0,False,Floor,3,0.56,0.47,0.82,0.01
1757,Centro,Entire rental unit,Entire home/apt,1.0,115.0,4.1,True,Floor,5,0.82,0.43,0.8,0.01
1758,Centro,Entire rental unit,Entire home/apt,2.0,111.0,2.7,False,House,5,0.86,0.64,0.94,0.01
1759,ChamartÃ­n,Entire rental unit,Entire home/apt,3.0,152.0,21.3,True,House,5,0.92,0.91,0.5,0.06
1760,Centro,Entire rental unit,Entire home/apt,1.0,58.0,2.0,True,Floor,4,0.77,0.72,0.98,0.01
1761,Puente de Vallecas,Entire loft,Entire home/apt,0.0,66.0,2.0,True,Floor,3,0.56,0.7,0.91,0.01
1762,Centro,Private room in rental unit,Private room,1.0,35.0,3.0,True,Room,2,0.29,0.93,0.92,0.01
1763,Centro,Entire rental unit,Entire home/apt,2.0,144.0,3.0,False,Floor,2,0.35,0.42,0.93,0.01
1764,Centro,Private room in rental unit,Private room,1.0,73.0,4.0,True,Room,1,0.11,0.32,0.48,0.01
1765,Fuencarral - El Pardo,Private room in townhouse,Private room,1.0,39.0,26.0,False,Room,1,0.03,0.57,0.9,0.07
1766,Hortaleza,Private room in home,Private room,1.0,28.0,1.0,False,Room,5,0.83,0.87,0.77,0.0
1767,Centro,Entire rental unit,Entire home/apt,2.0,187.0,4.7,False,House,1,0.07,0.5,0.43,0.01
1768,Centro,Entire rental unit,Entire home/apt,1.0,140.0,3.0,True,House,2,0.28,0.75,0.66,0.01
1769,Centro,Entire rental unit,Entire home/apt,1.0,116.0,5.0,False,House,5,0.97,0.88,0.93,0.01
1770,Centro,Entire rental unit,Entire home/apt,3.0,149.0,4.9,True,Floor,4,0.74,0.92,0.94,0.01
1771,Salamanca,Entire rental unit,Entire home/apt,3.0,341.0,12.2,True,House,5,0.95,0.43,0.98,0.03
1772,Centro,Entire rental unit,Entire home/apt,2.0,159.0,6.0,False,House,4,0.8,0.89,0.78,0.02
1773,Latina,Entire rental unit,Entire home/apt,2.0,100.0,3.6,True,House,5,0.82,0.89,0.44,0.01
1774,Centro,Entire rental unit,Entire home/apt,1.0,98.0,8.0,False,Floor,5,0.82,0.49,0.88,0.02
1775,Centro,Entire rental unit,Entire home/apt,0.0,61.0,3.0,False,House,4,0.62,0.66,0.38,0.01
1776,ChamberÃ­,Private room in rental unit,Private room,1.0,53.0,2.0,False,Room,4,0.75,0.45,0.99,0.01
1777,Carabanchel,Entire rental unit,Entire home/apt,2.0,111.0,23.7,False,House,4,0.79,0.36,0.62,0.06
1778,ChamberÃ­,Entire rental unit,Entire home/apt,2.0,130.0,30.0,False,Floor,4,0.61,0.9,0.95,0.08
1779,Centro,Private room in rental unit,Private room,1.0,78.0,1.4,True,Room,3,0.48,0.34,0.81,0.0
1780,Centro,Entire rental unit,Entire home/apt,2.0,86.0,2.0,False,House,2,0.38,0.68,0.57,0.01
1781,Salamanca,Entire rental unit,Entire home/apt,1.0,139.0,3.0,True,House,5,0.85,0.62,0.83,0.01
1782,Usera,Entire serviced apartment,Entire home/apt,0.0,43.0,7.0,True,Room,2,0.3,0.49,0.89,0.02
1783,Centro,Entire rental unit,Entire home/apt,1.0,104.0,4.6,False,Floor,3,0.5,0.85,0.87,0.01
1784,Centro,Entire rental unit,Entire home/apt,3.0,157.0,1.3,False,Floor,4,0.74,0.78,0.88,0.0
1785,Usera,Entire rental unit,Entire home/apt,3.0,126.0,3.0,False,House,5,0.96,0.68,0.36,0.01
1786,Retiro,Entire rental unit,Entire home/apt,2.0,216.0,11.2,True,House,3,0.57,0.55,0.93,0.03
1787,Latina,Private room in rental unit,Private room,1.0,45.0,3.0,False,Room,4,0.75,0.57,0.91,0.01
1788,Centro,Entire rental unit,Entire home/apt,1.0,124.0,34.3,True,Floor,5,0.84,0.72,0.89,0.09
1789,Moncloa - Aravaca,Entire rental unit,Entire home/apt,2.0,194.0,4.4,True,Floor,2,0.21,0.89,0.85,0.01
1790,Moncloa - Aravaca,Entire rental unit,Entire home/apt,2.0,214.0,4.4,True,Floor,5,1.0,0.85,0.37,0.01
1791,Retiro,Entire rental unit,Entire home/apt,2.0,134.0,2.0,False,Floor,4,0.77,0.48,0.9,0.01
1792,Centro,Entire condo,Entire home/apt,1.0,66.0,6.9,True,House,3,0.55,0.37,0.55,0.02
1793,TetuÃ¡n,Private room in rental unit,Private room,1.0,33.0,5.0,False,Room,4,0.77,0.51,0.96,0.01
1794,Centro,Entire rental unit,Entire home/apt,1.0,113.0,4.7,True,Floor,5,0.9,0.68,0.91,0.01
1795,Centro,Entire rental unit,Entire home/apt,2.0,119.0,3.0,False,Floor,4,0.67,0.68,0.97,0.01
1796,Centro,Entire rental unit,Entire home/apt,1.0,66.0,50.0,False,House,4,0.77,0.57,0.82,0.14
1797,Centro,Entire condo,Entire home/apt,2.0,162.0,4.6,False,House,3,0.51,0.38,0.81,0.01
1798,Centro,Entire rental unit,Entire home/apt,2.0,90.0,60.0,False,House,4,0.79,0.52,0.95,0.16
1799,Salamanca,Entire rental unit,Entire home/apt,1.0,121.0,7.7,False,Floor,5,0.85,0.94,0.86,0.02
1800,TetuÃ¡n,Entire rental unit,Entire home/apt,3.0,141.0,4.6,True,Floor,5,0.89,0.37,0.89,0.01
1801,Usera,Entire rental unit,Entire home/apt,3.0,225.0,2.0,False,Floor,5,0.98,0.73,0.97,0.01
1802,Centro,Entire rental unit,Entire home/apt,1.0,66.0,49.8,False,Floor,3,0.45,0.93,0.96,0.14
1803,Salamanca,Entire rental unit,Entire home/apt,1.0,233.0,2.1,True,House,4,0.75,0.7,0.82,0.01
1804,Carabanchel,Entire condo,Entire home/apt,2.0,131.0,3.0,False,House,4,0.77,0.58,0.96,0.01
1805,Centro,Entire rental unit,Entire home/apt,1.0,138.0,3.0,False,House,4,0.71,0.74,0.55,0.01
1806,Centro,Entire rental unit,Entire home/apt,1.0,84.0,1.0,True,Floor,2,0.26,0.33,0.8,0.0
1807,ChamartÃ­n,Entire rental unit,Entire home/apt,2.0,181.0,2.0,True,House,4,0.76,0.33,0.45,0.01
1808,Centro,Entire rental unit,Entire home/apt,2.0,242.0,13.0,False,House,4,0.78,0.48,0.32,0.04
1809,Salamanca,Entire rental unit,Entire home/apt,3.0,223.0,4.7,False,House,1,0.01,0.69,0.99,0.01
1810,Salamanca,Entire rental unit,Entire home/apt,1.0,95.0,4.6,False,Floor,4,0.74,0.9,0.69,0.01
1811,Puente de Vallecas,Private room in rental unit,Private room,1.0,32.0,7.0,False,Room,3,0.5,0.89,0.95,0.02
1812,Retiro,Entire rental unit,Entire home/apt,3.0,125.0,5.0,False,Floor,5,0.92,0.78,0.94,0.01
1813,Carabanchel,Private room in townhouse,Private room,1.0,30.0,2.0,False,Room,2,0.37,0.34,0.62,0.01
1814,Salamanca,Entire rental unit,Entire home/apt,3.0,426.0,3.0,True,Floor,5,0.82,0.63,0.8,0.01
1815,Centro,Entire loft,Entire home/apt,0.0,85.0,4.4,True,Floor,4,0.64,0.33,0.89,0.01
1816,Salamanca,Entire loft,Entire home/apt,1.0,141.0,2.1,False,Floor,5,0.91,0.86,0.73,0.01
1817,Centro,Entire loft,Entire home/apt,0.0,102.0,7.0,True,Floor,4,0.7,0.83,0.96,0.02
