Unnamed: 0,neighbourhood_group_cleansed,property_type,room_type,bedrooms,price,minimum_nights_avg_ntm,instant_bookable,property_type_group,review_score,review_score_porcent,occupancy_rate,bedroom_occupancy_percent,min_nights_percent_year
0,Centro,Private room in rental unit,Private room,1.0,69.0,1.0,False,Room,4,0.74,0.43,0.88,0.0
1,Centro,Entire rental unit,Entire home/apt,1.0,80.0,28.0,False,Floor,4,0.62,0.84,0.43,0.08
2,Centro,Entire rental unit,Entire home/apt,1.0,64.0,30.0,False,House,5,0.85,0.43,0.35,0.08
3,Centro,Entire rental unit,Entire home/apt,1.0,80.0,7.0,False,Floor,5,0.85,0.89,0.97,0.02
4,Centro,Private room in rental unit,Private room,3.0,40.0,1.0,True,Room,1,0.04,0.57,0.86,0.0
5,Ciudad Lineal,Private room in rental unit,Private room,1.0,21.0,3.0,False,Room,5,0.96,0.53,0.84,0.01
6,Centro,Entire rental unit,Entire home/apt,2.0,235.0,3.0,False,Floor,5,0.99,0.73,0.57,0.01
7,Centro,Private room in rental unit,Private room,1.0,36.0,1.0,True,Room,4,0.66,0.45,0.91,0.0
8,Centro,Private room in rental unit,Private room,1.0,53.0,3.0,False,Room,1,0.17,0.43,0.85,0.01
9,Salamanca,Entire rental unit,Entire home/apt,1.0,155.0,12.9,False,Floor,4,0.78,0.83,0.4,0.04
10,Centro,Entire rental unit,Entire home/apt,2.0,65.0,4.0,True,Floor,4,0.71,0.51,0.93,0.01
11,Latina,Private room in rental unit,Private room,1.0,20.0,2.0,False,Room,5,0.86,0.45,0.89,0.01
12,Hortaleza,Private room in chalet,Private room,1.0,80.0,1.0,False,Room,4,0.77,0.47,0.9,0.0
13,Centro,Entire rental unit,Entire home/apt,1.0,73.0,3.0,False,Floor,5,0.85,0.46,0.93,0.01
14,Centro,Entire rental unit,Entire home/apt,2.0,193.0,2.4,False,Floor,4,0.75,0.42,0.92,0.01
15,Centro,Private room in rental unit,Private room,1.0,48.0,3.0,False,Room,2,0.33,0.93,0.92,0.01
16,Centro,Private room in rental unit,Private room,1.0,120.0,3.0,False,Room,3,0.59,0.37,0.87,0.01
17,Centro,Entire rental unit,Entire home/apt,2.0,180.0,3.0,False,Floor,2,0.25,0.8,0.96,0.01
18,Barajas,Entire home,Entire home/apt,2.0,98.0,1.0,False,House,5,0.96,0.81,0.58,0.0
19,Centro,Entire rental unit,Entire home/apt,2.0,133.0,2.0,True,House,4,0.71,0.47,0.71,0.01
20,Centro,Entire loft,Entire home/apt,1.0,214.0,30.0,False,Floor,5,0.85,0.3,0.8,0.08
21,Usera,Private room in condo,Private room,1.0,48.0,4.0,False,Room,3,0.44,0.45,0.87,0.01
22,Centro,Entire rental unit,Entire home/apt,2.0,158.0,1.0,False,House,5,0.9,0.31,0.53,0.0
23,Hortaleza,Private room in rental unit,Private room,1.0,75.0,2.0,False,Room,5,0.92,0.46,0.81,0.01
24,Centro,Private room in rental unit,Private room,3.0,40.0,1.0,True,Room,4,0.65,0.36,0.81,0.0
25,Centro,Entire rental unit,Entire home/apt,2.0,130.0,7.9,False,Floor,3,0.41,0.67,0.89,0.02
26,Centro,Private room in rental unit,Private room,3.0,99.0,2.9,False,Room,3,0.5,0.49,0.87,0.01
27,Hortaleza,Entire loft,Entire home/apt,4.0,281.0,2.6,False,Floor,1,0.15,0.68,0.81,0.01
28,Arganzuela,Entire condo,Entire home/apt,1.0,104.0,3.0,False,House,2,0.38,0.38,0.57,0.01
29,Centro,Entire rental unit,Entire home/apt,0.0,89.0,2.1,True,Floor,5,0.93,0.9,0.68,0.01
30,Centro,Entire loft,Entire home/apt,1.0,150.0,1.3,False,Floor,5,0.98,0.45,0.81,0.0
31,Hortaleza,Entire loft,Entire home/apt,2.0,139.0,2.0,True,Floor,5,0.97,0.53,0.99,0.01
32,Centro,Entire rental unit,Entire home/apt,1.0,138.0,5.0,False,House,3,0.45,0.35,0.53,0.01
33,Centro,Entire serviced apartment,Entire home/apt,1.0,142.0,12.5,False,Room,3,0.57,0.46,0.91,0.03
34,Centro,Entire rental unit,Entire home/apt,1.0,112.0,2.0,False,House,4,0.75,0.68,0.55,0.01
35,Centro,Private room in rental unit,Private room,1.0,187.0,2.3,False,Room,2,0.26,0.4,0.87,0.01
36,Centro,Entire rental unit,Entire home/apt,0.0,80.0,2.1,False,House,2,0.36,0.71,0.87,0.01
37,Centro,Entire rental unit,Entire home/apt,4.0,415.0,1.0,False,Floor,4,0.77,0.82,0.82,0.0
38,Centro,Private room in rental unit,Private room,1.0,41.0,3.0,False,Room,2,0.27,0.43,0.74,0.01
39,Centro,Entire rental unit,Entire home/apt,1.0,90.0,27.7,False,Floor,5,0.91,0.77,0.85,0.08
40,Centro,Entire condo,Entire home/apt,1.0,209.0,2.0,False,House,4,0.62,0.45,0.91,0.01
41,Retiro,Entire rental unit,Entire home/apt,2.0,117.0,2.0,False,House,5,0.92,0.65,0.88,0.01
42,Centro,Private room in rental unit,Private room,1.0,49.0,2.0,False,Room,4,0.66,0.78,0.92,0.01
43,Centro,Entire loft,Entire home/apt,1.0,65.0,7.0,False,Floor,4,0.76,0.79,0.62,0.02
44,Hortaleza,Entire home,Entire home/apt,4.0,122.0,3.0,False,House,5,0.84,0.67,0.96,0.01
45,Centro,Private room in rental unit,Private room,2.0,117.0,2.9,False,Room,5,0.87,0.45,0.89,0.01
46,Salamanca,Private room in rental unit,Private room,1.0,70.0,2.0,False,Room,3,0.41,0.45,0.97,0.01
47,Centro,Entire rental unit,Entire home/apt,1.0,82.0,2.0,True,Floor,4,0.62,0.55,0.93,0.01
48,Salamanca,Private room in rental unit,Private room,1.0,31.0,4.0,False,Room,4,0.7,0.76,0.89,0.01
49,Centro,Entire rental unit,Entire home/apt,0.0,104.0,3.0,True,Floor,3,0.5,0.54,0.89,0.01
50,Centro,Entire rental unit,Entire home/apt,1.0,158.0,1.0,True,House,2,0.23,0.78,0.59,0.0
51,ChamberÃ­,Entire condo,Entire home/apt,2.0,129.0,3.0,False,House,1,0.06,0.42,0.86,0.01
52,Centro,Entire rental unit,Entire home/apt,1.0,63.0,3.9,False,House,5,0.81,0.68,0.96,0.01
53,Centro,Entire rental unit,Entire home/apt,2.0,160.0,3.0,False,House,4,0.68,0.36,0.43,0.01
54,Puente de Vallecas,Entire rental unit,Entire home/apt,2.0,52.0,30.0,False,Floor,5,0.92,0.86,0.98,0.08
55,ChamberÃ­,Private room in rental unit,Private room,1.0,50.0,3.0,False,Room,4,0.69,0.92,0.91,0.01
56,Centro,Entire rental unit,Entire home/apt,2.0,146.0,4.1,False,House,4,0.77,0.38,0.88,0.01
57,Centro,Entire rental unit,Entire home/apt,1.0,111.0,3.0,True,Floor,4,0.73,0.9,0.99,0.01
58,Centro,Entire rental unit,Entire home/apt,1.0,84.0,5.0,False,House,2,0.26,0.62,0.91,0.01
59,Centro,Entire rental unit,Entire home/apt,1.0,121.0,3.0,True,Floor,3,0.56,0.76,0.89,0.01
60,Centro,Entire rental unit,Entire home/apt,1.0,141.0,3.0,True,Floor,5,0.9,0.38,0.9,0.01
61,Centro,Entire serviced apartment,Entire home/apt,2.0,100.0,3.0,False,Room,3,0.55,0.71,0.96,0.01
62,Centro,Entire rental unit,Entire home/apt,2.0,169.0,4.0,False,Floor,4,0.72,0.65,0.75,0.01
63,ChamberÃ­,Private room in home,Private room,1.0,46.0,3.0,False,Room,4,0.69,0.49,0.87,0.01
64,Arganzuela,Private room in rental unit,Private room,1.0,39.0,3.0,False,Room,4,0.69,0.4,0.99,0.01
65,Centro,Entire rental unit,Entire home/apt,1.0,136.0,1.6,False,House,4,0.61,0.42,0.84,0.0
66,Centro,Entire rental unit,Entire home/apt,1.0,106.0,3.0,True,Floor,4,0.7,0.4,0.49,0.01
67,Arganzuela,Private room in rental unit,Private room,1.0,34.0,5.0,False,Room,3,0.53,0.44,0.89,0.01
68,San Blas - Canillejas,Private room in rental unit,Private room,1.0,80.0,1.0,False,Room,1,0.19,0.67,0.91,0.0
69,Centro,Private room in rental unit,Private room,2.0,64.0,3.0,False,Room,3,0.49,0.87,0.88,0.01
70,Ciudad Lineal,Entire rental unit,Entire home/apt,2.0,97.0,1.0,False,Floor,4,0.7,0.93,0.84,0.0
71,Centro,Entire rental unit,Entire home/apt,2.0,113.0,15.3,False,House,4,0.71,0.59,0.91,0.04
72,Centro,Private room in rental unit,Private room,1.0,84.0,1.0,False,Room,5,0.89,0.6,0.73,0.0
73,Centro,Entire rental unit,Entire home/apt,1.0,70.0,3.0,True,House,3,0.52,0.38,0.84,0.01
74,Centro,Entire rental unit,Entire home/apt,2.0,280.0,2.0,False,Floor,2,0.22,0.81,0.89,0.01
75,Latina,Private room in rental unit,Private room,1.0,45.0,200.0,False,Room,2,0.3,0.37,0.93,0.55
76,Centro,Entire rental unit,Entire home/apt,3.0,186.0,3.0,True,House,3,0.53,0.83,0.63,0.01
77,Centro,Entire rental unit,Entire home/apt,1.0,75.0,3.0,True,Floor,5,0.95,0.8,0.43,0.01
78,Centro,Entire rental unit,Entire home/apt,2.0,159.0,4.1,False,House,4,0.69,0.92,0.86,0.01
79,Centro,Private room in rental unit,Private room,1.0,88.0,2.0,False,Room,4,0.67,0.46,0.93,0.01
80,Centro,Entire rental unit,Entire home/apt,2.0,105.0,2.1,True,House,4,0.61,0.57,0.95,0.01
81,Centro,Entire rental unit,Entire home/apt,1.0,67.0,2.4,True,Floor,4,0.75,0.55,0.57,0.01
82,ChamartÃ­n,Private room in casa particular,Private room,1.0,32.0,5.1,False,Room,5,0.82,0.84,0.89,0.01
83,San Blas - Canillejas,Private room in rental unit,Private room,1.0,44.0,10.0,False,Room,2,0.3,0.88,0.9,0.03
84,Centro,Entire rental unit,Entire home/apt,1.0,79.0,3.0,True,Floor,1,0.07,0.66,0.97,0.01
85,Centro,Entire loft,Entire home/apt,1.0,96.0,1.0,True,Floor,2,0.37,0.37,0.99,0.0
86,ChamberÃ­,Private room in rental unit,Private room,1.0,48.0,1.0,False,Room,4,0.79,0.42,0.83,0.0
87,Centro,Entire rental unit,Entire home/apt,3.0,150.0,3.1,False,House,4,0.67,0.47,0.97,0.01
88,Centro,Entire rental unit,Entire home/apt,1.0,197.0,4.2,True,House,2,0.38,0.33,0.57,0.01
89,TetuÃ¡n,Entire home,Entire home/apt,2.0,226.0,1.0,False,House,4,0.67,0.54,0.83,0.0
90,Centro,Entire rental unit,Entire home/apt,1.0,112.0,2.0,False,Floor,3,0.56,0.5,0.8,0.01
91,Centro,Entire rental unit,Entire home/apt,2.0,79.0,49.7,True,House,4,0.76,0.68,0.84,0.14
92,Centro,Entire rental unit,Entire home/apt,2.0,47.0,28.5,False,Floor,4,0.73,0.56,0.84,0.08
93,Centro,Entire rental unit,Entire home/apt,1.0,85.0,5.0,False,Floor,4,0.65,0.66,0.49,0.01
94,Centro,Private room in rental unit,Private room,1.0,34.0,60.0,False,Room,3,0.44,0.89,0.84,0.16
95,Centro,Entire rental unit,Entire home/apt,1.0,113.0,5.0,False,Floor,5,0.89,0.71,0.82,0.01
96,Centro,Entire rental unit,Entire home/apt,1.0,52.0,28.5,False,Floor,4,0.64,0.4,0.9,0.08
97,Barajas,Entire rental unit,Entire home/apt,4.0,149.0,2.0,False,House,1,0.18,0.47,0.85,0.01
98,Puente de Vallecas,Private room in rental unit,Private room,1.0,36.0,2.0,False,Room,1,0.04,0.77,0.96,0.01
99,Centro,Entire rental unit,Entire home/apt,0.0,80.0,4.0,True,House,5,0.82,0.53,0.52,0.01
100,ChamberÃ­,Entire rental unit,Entire home/apt,0.0,22.0,150.0,False,House,5,0.92,0.39,0.94,0.41
101,ChamberÃ­,Entire rental unit,Entire home/apt,1.0,33.0,160.0,False,House,4,0.69,0.92,0.33,0.44
102,Centro,Entire rental unit,Entire home/apt,3.0,280.0,1.2,False,House,3,0.57,0.43,0.78,0.0
103,Centro,Entire rental unit,Entire home/apt,1.0,59.0,2.0,True,Floor,5,0.84,0.49,0.35,0.01
104,Centro,Entire rental unit,Entire home/apt,1.0,68.0,2.0,False,Floor,5,0.88,0.62,0.95,0.01
105,Centro,Private room in rental unit,Private room,1.0,1194.0,1.0,False,Room,4,0.73,0.64,0.36,0.0
106,Centro,Entire loft,Entire home/apt,1.0,116.0,3.4,False,Floor,4,0.79,0.46,0.81,0.01
107,Centro,Entire rental unit,Entire home/apt,1.0,47.0,30.0,False,Floor,4,0.66,0.58,0.63,0.08
108,Centro,Entire rental unit,Entire home/apt,1.0,60.0,84.7,False,House,1,0.14,0.83,0.8,0.23
109,Arganzuela,Private room in rental unit,Private room,1.0,53.0,3.0,False,Room,5,0.84,0.58,0.85,0.01
110,Arganzuela,Entire rental unit,Entire home/apt,2.0,127.0,3.6,True,Floor,4,0.75,0.64,0.92,0.01
111,Centro,Entire rental unit,Entire home/apt,1.0,94.0,5.0,False,House,3,0.47,0.34,0.31,0.01
112,Centro,Entire rental unit,Entire home/apt,1.0,138.0,3.0,False,Floor,4,0.66,0.51,0.86,0.01
113,ChamartÃ­n,Entire condo,Entire home/apt,1.0,60.0,2.0,True,House,4,0.65,0.48,0.56,0.01
114,Centro,Entire rental unit,Entire home/apt,2.0,83.0,10.0,False,Floor,3,0.48,0.77,0.87,0.03
115,Centro,Private room in rental unit,Private room,1.0,43.0,3.0,False,Room,5,0.87,0.54,0.96,0.01
116,Arganzuela,Private room in condo,Private room,1.0,44.0,3.0,False,Room,4,0.73,0.86,0.9,0.01
117,Arganzuela,Private room in condo,Private room,1.0,46.0,3.0,False,Room,4,0.71,0.34,0.63,0.01
118,Centro,Entire rental unit,Entire home/apt,1.0,82.0,2.0,True,Floor,4,0.75,0.48,0.95,0.01
119,Centro,Entire rental unit,Entire home/apt,2.0,151.0,2.0,False,House,4,0.67,0.65,0.91,0.01
120,Centro,Entire rental unit,Entire home/apt,1.0,96.0,2.0,False,Floor,4,0.79,0.83,0.98,0.01
121,Puente de Vallecas,Private room in rental unit,Private room,1.0,26.0,1.0,False,Room,4,0.71,0.57,0.71,0.0
122,Centro,Entire rental unit,Entire home/apt,2.0,214.0,5.0,False,House,1,0.14,0.83,0.81,0.01
123,Centro,Private room in rental unit,Private room,1.0,55.0,1.0,True,Room,3,0.54,0.8,0.98,0.0
124,ChamberÃ­,Entire rental unit,Entire home/apt,2.0,120.0,2.0,False,Floor,1,0.04,0.89,0.95,0.01
125,Centro,Entire rental unit,Entire home/apt,1.0,108.0,4.0,True,Floor,4,0.64,0.39,0.87,0.01
126,Arganzuela,Entire rental unit,Entire home/apt,2.0,97.0,5.2,True,House,3,0.5,0.86,0.88,0.01
127,Centro,Entire loft,Entire home/apt,2.0,108.0,2.3,False,Floor,3,0.51,0.33,0.9,0.01
128,Salamanca,Entire rental unit,Entire home/apt,2.0,292.0,7.0,True,Floor,3,0.46,0.56,0.97,0.02
129,Centro,Entire rental unit,Entire home/apt,1.0,129.0,47.3,False,Floor,4,0.64,0.86,0.98,0.13
130,Centro,Entire rental unit,Entire home/apt,1.0,81.0,7.0,False,Floor,3,0.51,0.74,0.9,0.02
131,Puente de Vallecas,Private room in rental unit,Private room,1.0,31.0,4.0,False,Room,5,0.94,0.45,0.45,0.01
132,Centro,Entire rental unit,Entire home/apt,1.0,78.0,2.4,False,Floor,4,0.65,0.32,0.36,0.01
133,Centro,Entire rental unit,Entire home/apt,1.0,94.0,2.1,False,House,3,0.45,0.67,0.81,0.01
134,Centro,Private room in rental unit,Private room,1.0,26.0,45.0,False,Room,3,0.59,0.53,0.91,0.12
135,ChamartÃ­n,Entire condo,Entire home/apt,1.0,94.0,1.0,False,House,1,0.15,0.48,0.62,0.0
136,ChamberÃ­,Private room in rental unit,Private room,1.0,57.0,1.0,False,Room,5,0.82,0.63,0.91,0.0
137,Centro,Entire loft,Entire home/apt,1.0,88.0,2.0,False,Floor,4,0.8,0.5,0.89,0.01
138,Centro,Entire rental unit,Entire home/apt,1.0,95.0,3.0,True,Floor,5,0.81,0.83,0.88,0.01
139,Centro,Entire rental unit,Entire home/apt,1.0,86.0,4.9,False,House,1,0.06,0.74,1.0,0.01
140,Centro,Entire rental unit,Entire home/apt,1.0,92.0,4.3,False,House,4,0.78,0.39,0.89,0.01
141,Retiro,Private room in rental unit,Private room,1.0,50.0,2.0,False,Room,3,0.43,0.49,0.83,0.01
142,Centro,Entire rental unit,Entire home/apt,1.0,103.0,4.0,False,Floor,5,0.97,0.77,0.78,0.01
143,Centro,Entire rental unit,Entire home/apt,2.0,182.0,2.6,True,House,4,0.64,0.92,0.91,0.01
144,Centro,Entire rental unit,Entire home/apt,1.0,114.0,28.0,False,House,4,0.64,0.45,0.33,0.08
145,Centro,Entire condo,Entire home/apt,2.0,110.0,4.0,False,House,3,0.56,0.53,0.98,0.01
146,Centro,Entire rental unit,Entire home/apt,1.0,88.0,2.2,False,House,3,0.58,0.57,0.81,0.01
147,Centro,Private room in rental unit,Private room,1.0,152.0,2.3,False,Room,3,0.5,0.42,0.91,0.01
148,Centro,Entire condo,Entire home/apt,2.0,185.0,5.1,False,House,4,0.62,0.57,0.59,0.01
149,Centro,Private room in rental unit,Private room,1.0,134.0,1.9,False,Room,1,0.07,0.55,0.8,0.01
150,ChamartÃ­n,Private room in rental unit,Private room,2.0,27.0,15.0,False,Room,5,0.81,0.49,0.85,0.04
151,Centro,Entire rental unit,Entire home/apt,0.0,102.0,2.6,True,Floor,5,0.88,0.73,0.9,0.01
152,Centro,Entire rental unit,Entire home/apt,1.0,103.0,4.0,False,House,2,0.34,0.34,0.83,0.01
153,ChamberÃ­,Entire rental unit,Entire home/apt,3.0,199.0,4.0,False,Floor,4,0.66,0.45,0.84,0.01
154,Centro,Entire rental unit,Entire home/apt,1.0,74.0,4.0,False,Floor,3,0.53,0.51,0.97,0.01
155,Arganzuela,Entire rental unit,Entire home/apt,1.0,128.0,1.3,False,Floor,5,0.99,0.88,0.87,0.0
156,Fuencarral - El Pardo,Entire bungalow,Entire home/apt,1.0,86.0,4.0,False,House,3,0.5,0.92,0.9,0.01
157,Salamanca,Private room in rental unit,Private room,1.0,15.0,30.0,False,Room,4,0.65,0.33,0.91,0.08
158,Usera,Private room in rental unit,Private room,1.0,35.0,28.0,False,Room,4,0.79,0.67,0.85,0.08
159,Centro,Entire rental unit,Entire home/apt,1.0,118.0,3.0,False,Floor,5,0.99,0.91,0.88,0.01
160,Centro,Entire rental unit,Entire home/apt,1.0,203.0,4.2,True,Floor,3,0.44,0.75,0.98,0.01
161,Centro,Entire rental unit,Entire home/apt,1.0,100.0,3.0,False,Floor,5,0.98,0.68,0.44,0.01
162,Villa de Vallecas,Private room in rental unit,Private room,1.0,45.0,2.0,False,Room,2,0.27,0.34,0.88,0.01
163,Centro,Entire rental unit,Entire home/apt,1.0,82.0,3.0,True,Floor,1,0.03,0.43,0.85,0.01
164,Latina,Private room in rental unit,Private room,1.0,62.0,2.0,False,Room,3,0.43,0.43,0.94,0.01
165,Centro,Private room in rental unit,Private room,1.0,167.0,1.7,False,Room,3,0.55,0.49,1.0,0.0
166,Centro,Entire rental unit,Entire home/apt,1.0,132.0,3.0,False,House,5,0.83,0.74,0.37,0.01
167,Centro,Entire rental unit,Entire home/apt,1.0,73.0,3.0,True,Floor,5,0.95,0.8,0.97,0.01
168,Centro,Entire rental unit,Entire home/apt,1.0,114.0,1.0,True,Floor,4,0.66,0.66,0.31,0.0
169,Centro,Entire rental unit,Entire home/apt,1.0,57.0,21.5,False,House,5,0.89,0.45,0.9,0.06
170,San Blas - Canillejas,Private room in rental unit,Private room,1.0,36.0,9.9,False,Room,2,0.24,0.36,0.82,0.03
171,Centro,Entire condo,Entire home/apt,1.0,65.0,1.0,True,House,4,0.73,0.53,0.32,0.0
172,Centro,Entire rental unit,Entire home/apt,2.0,134.0,4.0,True,House,3,0.5,0.7,0.82,0.01
173,Centro,Entire rental unit,Entire home/apt,1.0,123.0,1.0,True,Floor,5,0.88,0.5,0.8,0.0
174,Centro,Entire rental unit,Entire home/apt,1.0,203.0,4.2,True,Floor,3,0.56,0.72,0.7,0.01
175,Moncloa - Aravaca,Entire rental unit,Entire home/apt,1.0,131.0,1.0,True,Floor,1,0.1,0.63,0.83,0.0
176,Centro,Entire rental unit,Entire home/apt,1.0,74.0,140.2,False,House,4,0.74,0.75,0.94,0.38
177,Centro,Entire rental unit,Entire home/apt,0.0,114.0,1.6,True,House,5,0.96,0.55,0.99,0.0
178,Arganzuela,Entire home,Entire home/apt,2.0,153.0,2.0,True,House,5,0.93,0.71,0.43,0.01
179,Centro,Entire rental unit,Entire home/apt,1.0,286.0,2.0,False,House,5,0.99,0.37,0.46,0.01
180,Salamanca,Entire rental unit,Entire home/apt,1.0,154.0,12.7,False,House,5,0.91,0.58,0.77,0.03
181,Centro,Entire rental unit,Entire home/apt,1.0,130.0,3.0,False,Floor,5,0.85,0.76,0.95,0.01
182,Salamanca,Entire rental unit,Entire home/apt,1.0,115.0,6.0,False,Floor,4,0.71,0.4,0.41,0.02
183,Centro,Private room in rental unit,Private room,2.0,32.0,6.0,False,Room,3,0.46,0.33,0.84,0.02
184,Centro,Private room in rental unit,Private room,1.0,39.0,1.0,False,Room,4,0.63,0.48,0.87,0.0
185,Latina,Private room in rental unit,Private room,1.0,39.0,9.0,False,Room,4,0.75,0.49,0.81,0.02
186,Centro,Entire rental unit,Entire home/apt,2.0,236.0,6.0,False,Floor,4,0.66,0.75,0.96,0.02
187,Centro,Entire rental unit,Entire home/apt,2.0,168.0,3.5,True,Floor,2,0.27,0.94,0.9,0.01
188,Centro,Private room in rental unit,Private room,1.0,124.0,2.1,False,Room,4,0.8,0.39,0.9,0.01
189,Centro,Entire rental unit,Entire home/apt,3.0,207.0,1.0,False,Floor,4,0.69,0.77,0.9,0.0
190,ChamberÃ­,Private room in rental unit,Private room,7.0,35.0,3.0,False,Room,5,0.89,0.61,0.96,0.01
191,Retiro,Entire rental unit,Entire home/apt,2.0,173.0,2.0,True,Floor,4,0.78,0.71,0.96,0.01
192,Centro,Entire loft,Entire home/apt,1.0,80.0,3.0,True,Floor,3,0.56,0.4,0.67,0.01
193,Centro,Entire loft,Entire home/apt,1.0,92.0,1.2,False,Floor,5,0.97,0.62,0.83,0.0
194,Centro,Private room in rental unit,Private room,2.0,29.0,6.0,False,Room,2,0.3,0.56,0.78,0.02
195,Centro,Entire rental unit,Entire home/apt,1.0,129.0,2.0,False,House,2,0.25,0.47,0.95,0.01
196,Centro,Entire rental unit,Entire home/apt,1.0,135.0,2.0,True,Floor,4,0.62,0.74,0.71,0.01
197,Centro,Entire rental unit,Entire home/apt,1.0,150.0,4.9,False,Floor,5,0.83,0.66,0.94,0.01
198,Centro,Private room in rental unit,Private room,1.0,1286.0,1.0,False,Room,2,0.24,0.5,0.81,0.0
199,Centro,Private room in loft,Private room,1.0,52.0,6.9,False,Room,3,0.46,0.43,0.93,0.02
200,Centro,Entire rental unit,Entire home/apt,2.0,189.0,3.9,True,Floor,5,0.96,0.41,0.59,0.01
201,Centro,Entire rental unit,Entire home/apt,1.0,60.0,28.0,False,Floor,5,0.85,0.85,0.96,0.08
202,ChamberÃ­,Private room in rental unit,Private room,1.0,350.0,2.0,False,Room,3,0.49,0.43,0.93,0.01
203,ChamberÃ­,Entire rental unit,Entire home/apt,1.0,125.0,2.0,True,Floor,3,0.5,0.73,0.64,0.01
204,Centro,Private room in rental unit,Private room,1.0,29.0,12.0,False,Room,1,0.07,0.48,0.89,0.03
205,Salamanca,Private room in rental unit,Private room,1.0,280.0,30.0,False,Room,2,0.24,0.81,0.83,0.08
206,Centro,Entire rental unit,Entire home/apt,1.0,124.0,3.0,False,House,2,0.26,0.32,0.44,0.01
207,Centro,Entire rental unit,Entire home/apt,2.0,98.0,5.0,False,House,4,0.77,0.93,0.37,0.01
208,Centro,Entire rental unit,Entire home/apt,1.0,236.0,4.2,True,Floor,3,0.6,0.8,1.0,0.01
209,Centro,Entire rental unit,Entire home/apt,0.0,92.0,19.6,False,House,4,0.68,0.33,0.87,0.05
210,Centro,Entire rental unit,Entire home/apt,1.0,129.0,2.1,False,Floor,5,0.9,0.8,0.87,0.01
211,Centro,Entire rental unit,Entire home/apt,1.0,119.0,2.1,True,Floor,4,0.67,0.35,0.98,0.01
212,Centro,Entire rental unit,Entire home/apt,1.0,159.0,2.0,True,House,2,0.28,0.88,0.89,0.01
213,Centro,Private room in rental unit,Private room,1.0,41.0,1.0,True,Room,5,0.94,0.71,0.9,0.0
214,Arganzuela,Private room in condo,Private room,1.0,37.0,2.3,False,Room,4,0.75,0.9,0.81,0.01
215,Centro,Entire rental unit,Entire home/apt,1.0,95.0,3.0,False,House,5,0.87,0.63,0.8,0.01
216,Centro,Private room in home,Private room,1.0,31.0,1.0,True,Room,1,0.04,0.55,0.93,0.0
217,Centro,Entire rental unit,Entire home/apt,2.0,98.0,3.3,False,House,2,0.34,0.57,0.95,0.01
218,Centro,Entire serviced apartment,Entire home/apt,3.0,283.0,3.0,False,Room,5,0.89,0.54,0.81,0.01
219,Centro,Entire rental unit,Entire home/apt,2.0,210.0,2.1,False,House,3,0.58,0.31,0.92,0.01
220,ChamberÃ­,Entire rental unit,Entire home/apt,1.0,62.0,30.0,True,Floor,4,0.69,0.41,0.95,0.08
221,Centro,Entire rental unit,Entire home/apt,1.0,94.0,12.2,True,Floor,4,0.62,0.62,0.81,0.03
222,Centro,Entire loft,Entire home/apt,0.0,103.0,3.1,True,Floor,5,0.95,0.88,0.93,0.01
223,Moncloa - Aravaca,Private room in rental unit,Private room,1.0,39.0,1.1,False,Room,5,1.0,0.49,0.96,0.0
224,Retiro,Private room in rental unit,Private room,1.0,55.0,2.0,False,Room,2,0.3,0.54,0.98,0.01
225,Centro,Entire rental unit,Entire home/apt,2.0,189.0,4.0,False,Floor,5,0.99,0.76,0.98,0.01
226,Centro,Entire serviced apartment,Entire home/apt,2.0,153.0,3.0,True,Room,1,0.04,0.43,0.97,0.01
227,Carabanchel,Entire home,Entire home/apt,2.0,40.0,21.0,False,House,4,0.65,0.8,0.85,0.06
228,ChamberÃ­,Entire loft,Entire home/apt,1.0,66.0,5.0,False,Floor,5,0.87,0.57,0.35,0.01
229,Arganzuela,Private room in rental unit,Private room,1.0,80.0,1.0,False,Room,1,0.09,0.49,0.81,0.0
230,ChamartÃ­n,Private room in rental unit,Private room,1.0,55.0,1.0,False,Room,1,0.18,0.58,0.89,0.0
231,Centro,Entire rental unit,Entire home/apt,1.0,65.0,3.0,True,Floor,4,0.79,0.9,0.9,0.01
232,Centro,Entire rental unit,Entire home/apt,2.0,142.0,3.8,True,Floor,5,0.91,0.41,0.98,0.01
233,Centro,Entire rental unit,Entire home/apt,3.0,201.0,3.8,True,Floor,4,0.74,0.31,0.98,0.01
234,Centro,Entire rental unit,Entire home/apt,5.0,393.0,3.8,True,Floor,5,0.93,0.7,0.94,0.01
235,Centro,Entire rental unit,Entire home/apt,2.0,139.0,21.1,False,Floor,5,0.97,0.32,0.84,0.06
236,Centro,Entire rental unit,Entire home/apt,1.0,207.0,4.0,False,Floor,4,0.63,0.62,0.87,0.01
237,Centro,Private room in rental unit,Private room,1.0,75.0,2.0,False,Room,4,0.72,0.54,0.8,0.01
238,Centro,Entire rental unit,Entire home/apt,1.0,120.0,4.9,False,Floor,1,0.16,0.84,0.91,0.01
239,Centro,Entire rental unit,Entire home/apt,1.0,98.0,7.0,False,Floor,3,0.56,0.73,0.75,0.02
240,Centro,Entire rental unit,Entire home/apt,0.0,92.0,20.0,False,Floor,5,0.96,0.62,0.86,0.05
241,Centro,Entire rental unit,Entire home/apt,1.0,90.0,10.0,False,Floor,5,1.0,0.94,1.0,0.03
242,Moncloa - Aravaca,Private room in rental unit,Private room,1.0,40.0,3.0,False,Room,2,0.22,0.52,0.81,0.01
